time,force,other
1729761213.666918,-0.300000,""
1729761213.768163,-0.300000,""
1729761213.848133,-0.300000,""
1729761213.947213,-0.300000,""
1729761214.027174,-0.300000,""
1729761214.127535,-0.300000,""
1729761214.207403,-0.300000,""
1729761214.307155,-0.300000,""
1729761214.388013,-0.300000,""
1729761214.488487,-0.300000,""
1729761214.568596,-0.300000,""
1729761214.668080,-0.300000,""
1729761214.748138,-0.300000,""
1729761214.848688,-0.300000,""
1729761214.927885,-0.300000,""
1729761215.028249,-0.300000,""
1729761215.108284,-0.300000,""
1729761215.208248,-0.300000,""
1729761215.288437,-0.300000,""
1729761215.388516,-0.300000,""
1729761215.468779,-0.300000,""
1729761215.568197,-0.300000,""
1729761215.648379,-0.300000,""
1729761215.748786,-0.300000,""
1729761215.828110,-0.300000,""
1729761215.928588,-0.300000,""
1729761216.007319,-0.300000,""
1729761216.108705,-0.300000,""
1729761216.208693,-0.300000,""
1729761216.287795,-0.300000,""
1729761216.388378,-0.300000,""
1729761216.468159,-0.300000,""
1729761216.568015,-0.300000,""
1729761216.647930,-0.300000,""
1729761216.748473,-0.300000,""
1729761216.828886,-0.300000,""
1729761216.928389,-0.300000,""
1729761217.008665,-0.300000,""
1729761217.108081,-0.300000,""
1729761217.188256,-0.200000,""
1729761217.288140,-0.300000,""
1729761217.368131,-0.300000,""
1729761217.468591,-0.300000,""
1729761217.548225,-0.300000,""
1729761217.648663,-0.200000,""
1729761217.728882,-0.200000,""
1729761217.827967,-0.300000,""
1729761217.908568,-0.300000,""
1729761218.007997,-0.300000,""
1729761218.088136,-0.300000,""
1729761218.188829,-0.300000,""
1729761218.268888,-0.300000,""
1729761218.368406,-0.300000,""
1729761218.448572,-0.300000,""
1729761218.548017,-0.300000,""
1729761218.648269,-0.300000,""
1729761218.728189,-0.100000,""
1729761218.828166,3.200000,""
1729761218.908659,5.700000,""
1729761219.008611,1.000000,""
1729761219.088352,-0.300000,""
1729761219.188565,-0.300000,""
1729761219.267976,-0.300000,""
1729761219.368636,-0.300000,""
1729761219.448166,-0.300000,""
1729761219.548580,-0.300000,""
1729761219.628752,-0.300000,""
1729761220.088985,-0.300000,""
1729761220.168108,-0.300000,""
1729761220.268552,-0.300000,""
1729761220.348760,-0.300000,""
1729761220.448296,-0.300000,""
1729761220.528438,-0.300000,""
1729761220.628036,-0.300000,""
1729761220.708256,-0.300000,""
1729761220.808803,-0.300000,""
1729761220.888929,0.000000,""
1729761220.988462,3.000000,""
1729761221.068608,2.000000,""
1729761221.168056,-0.200000,""
1729761221.268826,-0.300000,""
1729761221.348625,-0.300000,""
1729761221.449003,-0.300000,""
1729761221.527782,-0.300000,""
1729761221.628190,-0.300000,""
1729761221.709021,-0.300000,""
1729761221.808066,-0.300000,""
1729761221.888193,-0.300000,""
