time,force,other
1729759383.541370,1.200000,""
1729759383.621269,1.200000,""
1729759383.720523,1.200000,""
1729759383.800225,1.200000,""
1729759383.901392,1.200000,""
1729759383.980684,1.200000,""
1729759384.080837,1.200000,""
1729759384.160262,1.200000,""
1729759384.260542,1.200000,""
1729759384.340603,1.200000,""
1729759384.440290,1.200000,""
1729759384.520544,1.200000,""
1729759384.620956,1.200000,""
1729759384.700287,1.200000,""
1729759384.801275,1.200000,""
1729759384.879841,1.200000,""
1729759384.979567,1.200000,""
1729759385.061524,1.200000,""
1729759385.161187,1.200000,""
1729759385.241577,1.200000,""
1729759385.340922,1.200000,""
1729759385.440496,1.200000,""
1729759385.521122,1.200000,""
1729759385.621678,1.200000,""
1729759385.701249,1.200000,""
1729759385.801163,1.200000,""
1729759385.880956,1.200000,""
1729759385.980594,1.200000,""
1729759386.060983,1.200000,""
1729759386.160703,1.200000,""
1729759386.241497,1.200000,""
1729759386.339839,1.200000,""
1729759386.420952,1.200000,""
1729759386.520881,1.200000,""
1729759386.600698,1.200000,""
1729759386.700182,1.200000,""
1729759386.780833,1.200000,""
1729759386.880900,1.200000,""
1729759386.961711,1.200000,""
1729759387.061377,1.200000,""
1729759387.139979,1.200000,""
1729759387.241072,1.200000,""
1729759387.320104,1.200000,""
1729759387.421345,1.200000,""
1729759387.500051,1.200000,""
1729759387.600727,1.200000,""
1729759387.700804,1.200000,""
1729759387.781530,1.200000,""
1729759387.860646,1.200000,""
1729759387.961324,1.200000,""
1729759388.060414,1.200000,""
1729759388.141440,1.200000,""
1729759388.240126,1.200000,""
1729759388.321291,1.200000,""
1729759388.421360,1.200000,""
1729759388.500392,1.200000,""
1729759388.599852,1.200000,""
1729759388.680546,1.200000,""
1729759388.780785,1.200000,""
1729759388.860451,1.200000,""
1729759388.960863,1.200000,""
1729759389.040999,1.200000,""
1729759389.140414,1.200000,""
1729759389.220789,1.200000,""
1729759389.321227,1.200000,""
1729759389.401064,1.400000,""
1729759389.500775,1.900000,""
1729759389.580083,2.100000,""
1729759389.680082,2.100000,""
1729759389.761302,2.100000,""
1729759389.860577,2.100000,""
1729759389.941750,2.100000,""
1729759390.040117,2.100000,""
1729759390.121297,2.100000,""
1729759390.220497,2.100000,""
1729759390.300373,2.100000,""
1729759390.400497,2.100000,""
1729759390.499942,2.100000,""
1729759390.581209,2.100000,""
1729759390.681007,2.100000,""
1729759390.761227,2.100000,""
1729759390.861585,2.100000,""
1729759390.941364,2.100000,""
1729759391.041797,2.100000,""
1729759391.120869,2.100000,""
1729759391.221018,2.100000,""
1729759391.301119,2.100000,""
1729759391.401726,2.100000,""
1729759391.480760,2.100000,""
1729759391.581015,2.100000,""
1729759391.660886,2.100000,""
1729759391.760995,2.100000,""
1729759391.841066,2.100000,""
1729759391.941192,2.100000,""
1729759392.021032,2.100000,""
1729759392.120299,2.100000,""
1729759392.200403,2.100000,""
1729759392.299949,2.100000,""
1729759392.380916,2.100000,""
1729759392.480504,2.100000,""
1729759392.559582,2.100000,""
1729759392.660747,2.100000,""
1729759392.741419,2.100000,""
1729759392.840751,2.100000,""
1729759392.940515,2.100000,""
1729759393.020583,2.100000,""
1729759393.120730,2.100000,""
1729759393.200771,2.100000,""
1729759393.300791,2.100000,""
1729759393.379623,2.100000,""
1729759393.480372,2.100000,""
1729759393.560593,2.100000,""
1729759393.660745,2.100000,""
1729759393.740383,2.100000,""
1729759393.841169,2.100000,""
1729759393.921314,2.100000,""
1729759394.020193,2.100000,""
1729759394.100327,2.100000,""
1729759394.200376,2.100000,""
1729759394.280109,2.100000,""
1729759394.380001,2.100000,""
1729759394.461008,2.100000,""
1729759394.560792,2.100000,""
1729759394.641303,2.100000,""
1729759394.741176,2.100000,""
1729759394.819994,2.100000,""
1729759394.920812,2.100000,""
1729759395.000548,2.100000,""
1729759395.100416,2.100000,""
1729759395.180502,2.100000,""
1729759395.280903,2.100000,""
1729759395.381366,2.100000,""
1729759395.460559,2.100000,""
1729759395.560610,2.100000,""
1729759395.639922,2.100000,""
1729759395.740170,2.100000,""
1729759395.820132,2.100000,""
1729759395.920083,2.100000,""
1729759396.001375,2.100000,""
1729759396.100772,2.100000,""
1729759396.180457,2.100000,""
1729759396.280010,2.100000,""
1729759396.360220,2.100000,""
1729759396.460115,2.100000,""
1729759396.540364,2.100000,""
1729759396.641546,2.100000,""
1729759396.719682,2.100000,""
1729759396.820264,2.100000,""
1729759396.901250,2.100000,""
