time,force,other
1741897731.373685,0.300000,""
1741897731.395340,0.300000,""
1741897731.414519,0.500000,""
1741897731.434548,0.600000,""
1741897731.454902,,"TRIG"
1741897731.475148,0.700000,""
1741897731.494551,0.500000,""
1741897731.514294,0.400000,""
1741897731.534317,0.300000,""
1741897731.554921,0.300000,""
1741897731.574598,0.300000,""
1741897731.595118,0.300000,""
1741897731.613602,0.300000,""
1741897731.635321,0.300000,""
1741897731.654967,0.300000,""
1741897731.675351,0.300000,""
1741897731.693724,0.300000,""
1741897731.714417,0.200000,""
1741897731.735446,0.200000,""
1741897731.834947,0.200000,""
1741897731.914511,0.300000,""
1741897731.996933,0.400000,""
1741897732.094282,0.800000,""
1741897732.114983,,"TRIG"
1741897732.174750,1.000000,""
1741897732.274968,1.100000,""
1741897732.354837,2.100000,""
1741897732.435546,6.200000,""
1741897732.535083,11.500000,""
1741897732.615337,14.700000,""
1741897732.695318,15.300000,""
1741897732.798153,14.800000,""
1741897732.874557,13.900000,""
1741897732.974976,12.400000,""
1741897733.054647,8.600000,""
1741897733.134686,3.600000,""
1741897733.233825,1.100000,""
1741897733.314183,0.500000,""
1741897733.394426,0.400000,""
1741897733.494503,0.300000,""
1741897733.574957,0.400000,""
1741897733.674531,2.300000,""
1741897733.694683,,"TRIG"
1741897733.753374,8.200000,""
1741897733.834766,13.500000,""
1741897733.935367,14.900000,""
1741897734.014558,14.500000,""
1741897734.114555,14.100000,""
1741897734.195168,13.500000,""
1741897734.274776,11.200000,""
1741897734.375728,6.100000,""
1741897734.455531,2.000000,""
1741897734.534915,0.700000,""
1741897734.634840,0.400000,""
1741897734.714523,0.400000,""
1741897734.794919,0.300000,""
1741897734.896399,0.300000,""
1741897734.975444,0.400000,""
1741897735.075482,1.400000,""
1741897735.154923,4.100000,""
1741897735.254930,8.100000,""
1741897735.276168,,"TRIG"
1741897735.334033,11.300000,""
1741897735.414428,12.000000,""
1741897735.514449,10.700000,""
1741897735.594475,6.800000,""
1741897735.674897,2.600000,""
1741897735.774706,0.800000,""
1741897735.854834,0.300000,""
1741897735.935192,0.300000,""
1741897736.035673,1.300000,""
1741897736.114445,5.000000,""
1741897736.195489,9.900000,""
1741897736.295026,13.400000,""
1741897736.375090,14.400000,""
1741897736.475227,12.500000,""
1741897736.555174,6.700000,""
1741897736.634866,1.800000,""
1741897736.735044,0.300000,""
1741897736.815867,0.000000,""
1741897736.835914,,"TRIG"
1741897736.895080,0.000000,""
1741897736.994971,0.000000,""
1741897737.074436,0.100000,""
1741897737.174852,0.100000,""
1741897737.254290,0.200000,""
1741897737.334567,0.200000,""
1741897737.435651,0.500000,""
1741897737.514319,1.100000,""
1741897737.614427,1.900000,""
1741897737.694790,2.500000,""
1741897737.775554,3.700000,""
1741897737.875084,5.600000,""
1741897737.955268,7.100000,""
1741897738.034910,7.500000,""
1741897738.135001,6.900000,""
1741897738.214566,6.200000,""
1741897738.314550,5.700000,""
1741897738.394849,5.400000,""
1741897738.416013,,"TRIG"
1741897738.474195,5.000000,""
1741897738.574120,5.000000,""
1741897738.655085,4.900000,""
1741897738.735011,4.600000,""
1741897738.834849,5.800000,""
1741897738.914316,8.200000,""
1741897739.015594,9.600000,""
1741897739.094602,8.500000,""
1741897739.175677,6.000000,""
1741897739.275200,4.800000,""
1741897739.355440,4.700000,""
1741897739.434821,4.400000,""
1741897739.534825,4.800000,""
1741897739.614370,4.700000,""
1741897739.714548,3.200000,""
1741897739.794565,1.400000,""
1741897739.874832,0.400000,""
1741897739.975491,0.200000,""
1741897739.995359,,"TRIG"
1741897740.054679,0.100000,""
1741897740.134972,0.100000,""
1741897740.235406,0.100000,""
1741897740.314397,0.100000,""
1741897740.414289,0.100000,""
