time,force,other
1730745124.616413,0.100000,""
1730745124.798553,0.100000,""
1730745124.828268,0.100000,""
1730745124.887274,0.100000,""
1730745124.987926,0.100000,""
1730745125.118808,0.100000,""
1730745125.168875,0.100000,""
1730745125.252804,0.100000,""
1730745125.353255,0.100000,""
1730745125.473277,0.100000,""
1730745125.533924,0.800000,""
1730745125.614309,3.500000,""
1730745126.146680,0.100000,""
1730745126.222562,0.100000,""
1730745126.321359,0.100000,""
1730745126.394260,0.100000,""
1730745126.518328,0.100000,""
1730745126.620038,0.100000,""
1730745126.716077,0.100000,""
1730745126.756446,0.100000,""
1730745127.437983,0.100000,""
1730745127.459716,0.100000,""
1730745127.478658,0.100000,""
1730745127.499477,0.100000,""
1730745127.519011,0.100000,""
1730745127.538868,0.100000,""
1730745127.559187,0.100000,""
1730745127.579175,0.100000,""
1730745127.598967,0.100000,""
1730745127.658697,0.100000,""
1730745127.758266,-0.000000,""
1730745127.859863,-0.600000,""
1730745127.938439,-0.800000,""
1730745128.039415,-0.800000,""
1730745128.119675,-0.800000,""
1730745128.219498,-0.800000,""
1730745128.298457,-0.800000,""
1730745128.398561,-0.800000,""
1730745128.484585,-0.800000,""
1730745128.564464,-0.800000,""
1730745128.669626,-0.800000,""
1730745128.746691,-0.800000,""
1730745128.845318,-0.800000,""
1730745128.924897,-0.800000,""
1730745129.025459,-0.800000,""
1730745129.125455,-0.800000,""
1730745129.204855,-0.800000,""
1730745129.305201,-0.800000,""
1730745129.385166,-0.800000,""
1730745129.485016,-0.800000,""
1730745129.617551,-0.800000,""
1730745129.658930,-0.800000,""
1730745129.741361,-0.800000,""
1730745129.838087,-0.800000,""
1730745129.918882,-0.800000,""
1730745130.017913,-0.800000,""
1730745130.119271,-0.800000,""
1730745130.199543,-0.800000,""
1730745130.329602,-0.800000,""
1730745130.378093,-0.800000,""
1730745130.479241,-0.800000,""
1730745130.558874,-0.800000,""
1730745130.659589,-0.800000,""
1730745130.741850,-0.800000,""
1730745130.839525,-0.800000,""
1730745130.919224,-0.800000,""
1730745131.018858,-0.800000,""
1730745131.099230,-0.800000,""
1730745131.199315,-0.800000,""
1730745131.306823,-0.400000,""
1730745131.382606,0.100000,""
1730745131.462777,0.100000,""
1730745131.565544,0.100000,""
1730745131.643730,0.100000,""
1730745131.743772,0.100000,""
1730745131.827936,0.100000,""
1730745131.922597,0.100000,""
1730745132.014017,0.100000,""
1730745132.092392,0.100000,""
1730745132.192522,0.200000,""
1730745132.271216,2.700000,""
1730745132.372557,7.000000,""
1730745132.452579,7.800000,""
1730745132.551787,7.800000,""
1730745132.632029,7.800000,""
1730745132.731322,7.800000,""
1730745132.812606,7.800000,""
1730745132.912249,7.700000,""
1730745132.992299,7.800000,""
1730745133.091248,7.800000,""
1730745133.192652,7.800000,""
1730745133.272766,7.800000,""
1730745133.372354,7.800000,""
1730745133.452157,7.800000,""
1730745133.551341,7.800000,""
1730745133.631763,7.800000,""
1730745133.732293,7.800000,""
1730745133.811997,7.800000,""
1730745133.912122,7.800000,""
1730745133.991351,7.800000,""
1730745134.092268,7.800000,""
1730745134.172141,7.800000,""
1730745134.272030,7.800000,""
1730745134.351270,7.800000,""
1730745134.452241,7.700000,""
1730745134.532126,7.700000,""
1730745134.631951,7.700000,""
1730745134.713044,7.700000,""
1730745134.812501,7.700000,""
1730745134.892511,7.800000,""
1730745134.992714,7.800000,""
1730745135.072593,7.800000,""
1730745135.172445,7.800000,""
1730745135.252819,7.800000,""
1730745135.352776,7.800000,""
1730745135.432331,7.800000,""
1730745135.533084,7.800000,""
1730745135.612039,7.800000,""
1730745135.712844,7.800000,""
1730745135.812706,7.800000,""
1730745135.892409,7.800000,""
1730745135.992424,7.800000,""
1730745136.072702,7.800000,""
1730745136.172389,7.800000,""
1730745136.252440,7.800000,""
1730745136.352729,7.800000,""
1730745136.433115,7.800000,""
1730745136.532323,7.800000,""
1730745136.612786,7.800000,""
1730745136.713187,7.800000,""
1730745136.793214,7.800000,""
1730745136.893178,7.800000,""
1730745136.972910,7.800000,""
1730745137.073172,7.800000,""
1730745137.152438,7.800000,""
1730745137.252414,7.800000,""
1730745137.332920,7.800000,""
1730745137.432559,7.800000,""
1730745137.513182,7.800000,""
1730745137.612922,7.800000,""
1730745137.692396,7.800000,""
1730745137.792304,7.800000,""
1730745137.871399,7.800000,""
