time,force,other
1732626037.726473,-0.100000,""
1732626037.816473,-0.100000,""
1732626037.886473,-0.100000,""
1732626037.976473,-0.100000,""
1732626038.066473,-0.100000,""
1732626038.166473,-0.200000,""
1732626038.256473,-0.200000,""
1732626038.346473,-0.100000,""
1732626038.416474,-0.100000,""
1732626038.536474,-0.100000,""
1732626038.566474,,"TRIG"
1732626038.596474,-0.100000,""
1732626038.696474,-0.100000,""
1732626038.756474,-0.100000,""
1732626038.846474,-0.200000,""
1732626038.940475,-0.200000,""
1732626039.037481,-0.100000,""
1732626039.127486,-0.100000,""
1732626039.198487,-0.100000,""
1732626039.288487,-0.100000,""
1732626039.378487,-0.100000,""
1732626039.478487,-0.100000,""
1732626039.568487,-0.100000,""
1732626039.658488,-0.100000,""
1732626039.728488,-0.100000,""
1732626039.818488,-0.100000,""
1732626039.908488,-0.200000,""
1732626040.008488,-0.100000,""
1732626040.098488,-0.100000,""
1732626040.128488,,"TRIG"
1732626040.158488,-0.100000,""
1732626040.258489,-0.100000,""
1732626040.348489,-0.100000,""
1732626040.438489,-0.200000,""
1732626040.508489,-0.200000,""
1732626040.598489,-0.100000,""
1732626040.688489,-0.200000,""
1732626040.788489,-0.100000,""
1732626040.878489,-0.100000,""
1732626040.968489,-0.100000,""
1732626041.038490,-0.100000,""
1732626041.128490,-0.100000,""
1732626041.218490,-0.200000,""
1732626041.318490,-0.200000,""
1732626041.408490,-0.200000,""
1732626041.498490,-0.100000,""
1732626041.568490,-0.000000,""
1732626041.658491,-0.100000,""
1732626041.688490,,"TRIG"
1732626041.748491,-0.100000,""
1732626041.848491,-0.100000,""
1732626041.908491,-0.100000,""
1732626041.998491,-0.200000,""
1732626042.098491,-0.200000,""
1732626042.188491,-0.200000,""
1732626042.278491,0.900000,""
1732626042.348491,1.300000,""
1732626042.438492,0.600000,""
1732626042.528492,-0.000000,""
1732626042.628492,-0.300000,""
1732626042.718492,-0.400000,""
1732626042.808492,-0.400000,""
1732626042.878492,-0.400000,""
1732626042.968492,-0.300000,""
1732626043.058492,-0.400000,""
1732626043.158493,-0.400000,""
1732626043.248493,-0.400000,""
1732626043.278493,,"TRIG"
1732626043.338493,-0.500000,""
1732626043.408493,-0.700000,""
1732626043.498493,-3.200000,""
1732626043.588493,-3.200000,""
1732626043.658493,5.900000,""
1732626043.748493,15.800000,""
1732626043.838493,19.900000,""
1732626043.938494,21.400000,""
1732626044.028494,21.800000,""
1732626044.118494,11.200000,""
1732626044.188494,5.300000,""
1732626044.278494,3.100000,""
1732626044.368494,2.000000,""
1732626044.468494,1.700000,""
1732626044.558495,1.900000,""
1732626044.658495,2.300000,""
1732626044.718495,2.400000,""
1732626044.808495,,"TRIG"
1732626044.838495,1.700000,""
1732626044.898495,1.100000,""
1732626044.998495,0.900000,""
1732626045.088495,-0.400000,""
1732626045.148495,-1.100000,""
1732626045.248496,6.400000,""
1732626045.338495,16.400000,""
1732626045.438496,20.200000,""
1732626045.498496,21.000000,""
1732626045.588496,20.800000,""
1732626045.678496,9.700000,""
1732626045.778496,2.800000,""
1732626045.868496,1.300000,""
1732626045.968496,1.000000,""
1732626046.028497,1.300000,""
1732626046.118497,1.400000,""
1732626046.218497,1.400000,""
1732626046.308497,1.300000,""
1732626046.398497,,"TRIG"
1732626046.428497,1.400000,""
1732626046.498497,1.400000,""
1732626046.558497,1.200000,""
1732626046.648497,-0.100000,""
1732626046.748498,1.200000,""
1732626046.838498,8.700000,""
1732626046.928498,16.100000,""
1732626046.998498,19.800000,""
1732626047.088498,21.300000,""
1732626047.178498,19.600000,""
1732626047.278498,8.700000,""
1732626047.338498,3.400000,""
1732626047.428499,2.000000,""
1732626047.528499,1.200000,""
1732626047.618499,1.000000,""
1732626047.708499,0.900000,""
1732626047.778499,0.900000,""
1732626047.868499,1.000000,""
1732626047.958499,,"TRIG"
1732626047.988499,1.200000,""
1732626048.058499,1.000000,""
1732626048.148500,0.700000,""
1732626048.238500,-1.000000,""
1732626048.308500,-0.800000,""
1732626048.398500,8.700000,""
1732626048.488500,16.500000,""
1732626048.588500,18.300000,""
1732626048.678500,19.200000,""
1732626048.738500,16.700000,""
1732626048.838500,5.100000,""
1732626048.928501,1.000000,""
1732626049.018501,0.400000,""
1732626049.088501,-0.000000,""
1732626049.178501,-0.100000,""
1732626049.268501,-0.000000,""
1732626049.368501,-0.100000,""
1732626049.458501,-0.100000,""
1732626049.548501,,"TRIG"
1732626049.578502,0.000000,""
1732626049.618502,0.000000,""
1732626049.708502,-0.200000,""
1732626049.798502,-1.300000,""
1732626049.898502,1.000000,""
1732626049.988502,9.000000,""
1732626050.078502,15.000000,""
1732626050.148503,17.100000,""
1732626050.238503,18.300000,""
1732626050.328502,13.700000,""
1732626050.428503,4.100000,""
1732626050.488503,1.500000,""
1732626050.578503,1.200000,""
1732626050.678503,0.800000,""
1732626050.768503,0.700000,""
1732626050.858503,1.000000,""
1732626050.928504,1.300000,""
1732626051.018504,1.200000,""
1732626051.108504,,"TRIG"
1732626051.138504,1.300000,""
1732626051.208504,1.500000,""
1732626051.298504,1.100000,""
1732626051.388504,-0.000000,""
1732626051.458504,1.500000,""
1732626051.548504,11.000000,""
1732626051.638505,19.100000,""
1732626051.738505,20.300000,""
1732626051.828505,21.600000,""
1732626051.918505,17.100000,""
1732626051.988505,5.000000,""
1732626052.078505,0.800000,""
1732626052.168505,0.300000,""
1732626052.238505,0.300000,""
1732626052.328505,0.200000,""
1732626052.418505,0.200000,""
1732626052.518506,0.000000,""
1732626052.608506,0.100000,""
1732626052.638506,,"TRIG"
1732626052.698506,0.400000,""
1732626052.768506,0.300000,""
1732626052.858506,-1.600000,""
1732626052.948506,-6.600000,""
1732626053.048506,5.500000,""
1732626053.138506,19.300000,""
1732626053.238507,22.300000,""
1732626053.298507,21.100000,""
1732626053.388507,21.500000,""
1732626053.478507,16.700000,""
1732626053.578507,4.600000,""
1732626053.668507,1.600000,""
1732626053.728507,1.300000,""
1732626053.828507,1.500000,""
1732626053.918508,1.800000,""
1732626054.018508,1.900000,""
1732626054.078508,1.800000,""
1732626054.168508,1.700000,""
1732626054.228508,,"TRIG"
1732626054.258508,1.900000,""
1732626054.358508,1.900000,""
1732626054.448509,0.700000,""
1732626054.548508,-1.700000,""
1732626054.608509,8.200000,""
1732626054.698509,20.000000,""
1732626054.798509,24.200000,""
1732626054.888509,23.600000,""
1732626054.978509,24.300000,""
1732626055.078509,16.200000,""
1732626055.138509,4.700000,""
1732626055.228509,2.000000,""
1732626055.328510,1.500000,""
1732626055.418510,1.700000,""
1732626055.478510,1.800000,""
1732626055.578510,1.800000,""
1732626055.668510,2.000000,""
1732626055.758510,2.000000,""
1732626055.818510,,"TRIG"
1732626055.858510,2.100000,""
1732626055.918510,1.800000,""
1732626056.008511,0.900000,""
1732626056.108511,-1.800000,""
1732626056.198511,4.200000,""
1732626056.288511,15.700000,""
1732626056.358511,20.100000,""
1732626056.448511,20.300000,""
1732626056.538511,20.200000,""
1732626056.638511,12.500000,""
1732626056.728512,3.100000,""
1732626056.818512,1.200000,""
1732626056.888512,0.800000,""
1732626056.978512,1.000000,""
1732626057.068512,1.300000,""
1732626057.168512,1.600000,""
1732626057.258512,1.500000,""
1732626057.318512,1.500000,""
1732626057.348512,,"TRIG"
1732626057.418512,1.600000,""
1732626057.508513,1.100000,""
1732626057.598513,-1.400000,""
1732626057.668513,-0.400000,""
1732626057.758513,13.100000,""
1732626057.848513,22.500000,""
1732626057.948513,24.100000,""
1732626058.038513,22.400000,""
1732626058.128514,20.700000,""
1732626058.198514,13.000000,""
1732626058.288514,3.800000,""
1732626058.378514,1.500000,""
1732626058.478514,1.000000,""
1732626058.568514,1.100000,""
1732626058.658514,1.200000,""
1732626058.728514,1.100000,""
1732626058.818514,0.900000,""
1732626058.938515,0.700000,""
1732626058.978515,,"TRIG"
1732626059.008515,0.800000,""
1732626059.068515,0.600000,""
1732626059.158515,-0.800000,""
1732626059.258515,-2.100000,""
1732626059.348515,8.000000,""
1732626059.438515,18.200000,""
1732626059.508516,20.500000,""
1732626059.598516,19.300000,""
1732626059.688516,18.400000,""
1732626059.788516,11.100000,""
1732626059.878516,3.200000,""
1732626059.968516,1.500000,""
1732626060.038516,1.500000,""
1732626060.128516,1.300000,""
1732626060.218517,1.300000,""
1732626060.318516,1.300000,""
1732626060.408517,1.300000,""
1732626060.498517,1.400000,""
1732626060.538517,,"TRIG"
1732626060.568517,1.500000,""
1732626060.658517,1.200000,""
1732626060.748517,-0.700000,""
1732626060.848517,0.300000,""
1732626060.908517,13.100000,""
1732626060.998518,21.200000,""
1732626061.098518,21.700000,""
1732626061.188518,20.300000,""
1732626061.278518,19.100000,""
1732626061.348518,10.300000,""
1732626061.438518,2.200000,""
1732626061.528518,0.500000,""
1732626061.628518,0.500000,""
1732626061.718518,1.400000,""
1732626061.818519,1.500000,""
1732626061.878519,1.600000,""
1732626061.968519,1.800000,""
1732626062.058519,1.900000,""
1732626062.098519,,"TRIG"
1732626062.158519,1.900000,""
1732626062.248519,1.500000,""
1732626062.308519,-1.800000,""
1732626062.408520,2.200000,""
1732626062.498520,16.300000,""
1732626062.598520,22.600000,""
1732626062.658520,22.700000,""
1732626062.748520,21.400000,""
1732626062.838520,19.700000,""
1732626062.938520,10.600000,""
1732626063.028520,3.500000,""
1732626063.128520,1.900000,""
1732626063.188521,1.500000,""
1732626063.278521,1.400000,""
1732626063.378521,1.600000,""
1732626063.468521,1.900000,""
1732626063.558521,2.100000,""
1732626063.658521,2.200000,""
1732626063.688521,,"TRIG"
1732626063.718521,2.000000,""
1732626063.808522,1.800000,""
1732626063.908521,-0.800000,""
1732626063.998522,0.500000,""
1732626064.088522,13.900000,""
1732626064.158522,20.900000,""
1732626064.248522,21.500000,""
1732626064.338522,21.000000,""
1732626064.438522,20.200000,""
1732626064.498522,9.600000,""
1732626064.588522,2.200000,""
1732626064.688523,1.300000,""
1732626064.778523,1.100000,""
1732626064.868523,1.000000,""
1732626064.938523,1.200000,""
1732626065.028523,1.300000,""
1732626065.118523,1.500000,""
1732626065.218524,1.500000,""
1732626065.248523,,"TRIG"
1732626065.308523,1.400000,""
1732626065.398524,1.300000,""
1732626065.468524,-0.800000,""
1732626065.558524,2.300000,""
1732626065.648524,15.400000,""
1732626065.748524,20.700000,""
1732626065.838524,20.700000,""
1732626065.898525,20.400000,""
1732626065.998524,20.300000,""
1732626066.088525,10.700000,""
1732626066.178525,2.800000,""
1732626066.248525,1.900000,""
1732626066.338525,1.500000,""
1732626066.428525,1.400000,""
1732626066.528525,1.300000,""
1732626066.618526,1.500000,""
1732626066.708526,1.600000,""
1732626066.808526,1.700000,""
1732626066.838526,,"TRIG"
1732626066.868526,1.800000,""
1732626066.958526,1.600000,""
1732626067.058526,-0.600000,""
1732626067.148526,3.700000,""
1732626067.238526,15.900000,""
1732626067.308526,20.200000,""
1732626067.398526,20.000000,""
1732626067.488527,19.800000,""
1732626067.588527,18.100000,""
1732626067.648527,8.100000,""
1732626067.738527,1.900000,""
1732626067.838527,1.300000,""
1732626067.928527,1.200000,""
1732626068.018528,1.200000,""
1732626068.088528,1.200000,""
1732626068.178528,1.300000,""
1732626068.268528,1.500000,""
1732626068.368528,,"TRIG"
1732626068.398528,1.600000,""
1732626068.458528,1.700000,""
1732626068.549528,1.500000,""
1732626068.619528,-0.400000,""
1732626068.709528,3.500000,""
1732626068.799528,15.000000,""
1732626068.899529,19.900000,""
1732626068.989529,19.900000,""
1732626069.079529,19.300000,""
1732626069.149529,16.800000,""
1732626069.239529,6.600000,""
1732626069.329529,1.600000,""
1732626069.399529,1.400000,""
1732626069.489530,1.300000,""
1732626069.579530,1.300000,""
1732626069.679530,1.400000,""
1732626069.769530,1.500000,""
1732626069.859530,1.600000,""
1732626069.929530,,"TRIG"
1732626069.959530,1.400000,""
1732626070.019530,1.400000,""
1732626070.109530,0.900000,""
1732626070.209531,-0.000000,""
1732626070.299531,5.400000,""
1732626070.389531,16.600000,""
1732626070.459531,20.200000,""
1732626070.549531,19.600000,""
1732626070.639531,19.000000,""
1732626070.739531,16.600000,""
1732626070.829531,5.800000,""
1732626070.889531,0.900000,""
1732626070.989532,0.700000,""
1732626071.079532,0.900000,""
1732626071.169532,0.800000,""
1732626071.239532,0.800000,""
1732626071.329532,0.900000,""
1732626071.419532,0.900000,""
1732626071.519532,,"TRIG"
1732626071.549532,0.800000,""
1732626071.609532,0.900000,""
1732626071.699533,0.700000,""
1732626071.769533,-0.800000,""
1732626071.859533,5.500000,""
1732626071.949533,16.300000,""
1732626072.049533,19.000000,""
1732626072.139533,18.500000,""
1732626072.239533,18.200000,""
1732626072.299533,16.000000,""
1732626072.389534,5.600000,""
1732626072.479534,1.200000,""
1732626072.579534,0.700000,""
1732626072.639534,0.600000,""
1732626072.729534,0.600000,""
1732626072.829534,0.800000,""
1732626072.919534,0.900000,""
1732626073.019534,0.900000,""
1732626073.079535,,"TRIG"
1732626073.109535,0.900000,""
1732626073.169535,0.800000,""
1732626073.259535,0.500000,""
1732626073.359535,-1.200000,""
1732626073.449535,6.100000,""
1732626073.549535,17.200000,""
1732626073.609535,20.000000,""
1732626073.699535,19.500000,""
1732626073.799536,19.100000,""
1732626073.889536,16.600000,""
1732626073.979536,5.600000,""
1732626074.039536,1.700000,""
1732626074.139536,1.600000,""
1732626074.229536,1.200000,""
1732626074.329536,0.900000,""
1732626074.419536,1.000000,""
1732626074.479536,1.000000,""
1732626074.579537,1.100000,""
1732626074.639537,,"TRIG"
1732626074.669537,1.300000,""
1732626074.759537,1.400000,""
1732626074.859537,1.100000,""
1732626074.919537,0.100000,""
1732626075.009537,7.500000,""
1732626075.109537,16.800000,""
1732626075.199538,18.800000,""
1732626075.289537,18.400000,""
1732626075.359538,18.100000,""
1732626075.449538,15.300000,""
1732626075.539538,5.900000,""
1732626075.639538,1.900000,""
1732626075.729538,1.400000,""
1732626075.819538,1.200000,""
1732626075.889539,1.100000,""
1732626075.979539,1.200000,""
1732626076.069539,1.300000,""
1732626076.169539,1.300000,""
1732626076.199539,,"TRIG"
1732626076.229539,1.400000,""
1732626076.319539,1.400000,""
1732626076.419539,1.000000,""
1732626076.509539,-0.700000,""
1732626076.599540,6.800000,""
1732626076.669540,16.300000,""
1732626076.759540,18.900000,""
1732626076.849540,19.000000,""
1732626076.949540,18.500000,""
1732626077.039540,14.700000,""
1732626077.129540,6.100000,""
1732626077.199540,3.000000,""
1732626077.289540,2.300000,""
1732626077.379540,1.800000,""
1732626077.479541,1.600000,""
1732626077.569541,1.700000,""
1732626077.629541,1.800000,""
1732626077.729541,1.900000,""
1732626077.759541,,"TRIG"
1732626077.819541,1.900000,""
